iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,classification,gov_type,corruption,development,land_cond,GDP_per_energy,pop_total,urban_pop_p,cluster_num
FIN,Europe,Finland,28242,424,5097.173,76.524,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,18.3,22.6,3.28,81.91,0.92,OECD,par_rep,less,developed,sea_access,6.325.252.825,5461512,85.175,3
FRA,Europe,France,2365043,56451,36232.814,864.838,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,5.98,82.66,0.901,OECD,semi_pres_rep,less,developed,sea_access,1.026.979.926,66316100,79.394,3
GBR,Europe,United Kingdom,1754911,62130,25850.851,915.211,67886004,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20,24.7,2.54,81.32,0.922,OECD,const_mon,less,developed,islands,139.344.853,64613160,82.365,3
GEO,Asia,Georgia,169649,1576,42527.34,395.069,3989175,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,5.3,55.5,2.6,73.77,0.78,NC,semi_pres_rep,less,transition,sea_access,7.777.176.911,3719414,57.067,1
GHA,Africa,Ghana,52500,326,1689.573,10.491,31072945,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.3,7.7,0.9,64.07,0.592,NC,pres_rep,highly,developing,sea_access,1.142.546.471,27224472,53.419,4
GRC,Europe,Greece,118045,3194,11325.373,306.436,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,35.3,52,4.21,82.24,0.87,OECD,par_rep,highly,developed,sea_access,1.133.841.256,10892413,77.702,3
HRV,Europe,Croatia,154852,2298,37720.314,559.769,4105268,73.726,44,19.724,13.053,22669.797,253.782,5.59,34.3,39.9,5.54,78.49,0.831,NC,par_rep,highly,developed,sea_access,1.072.160.493,4238389,55.923,1
HTI,North America,Haiti,9399,233,824.291,20.434,11402533,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,2.9,23.1,0.7,64,0.498,NC,semi_pres_rep,highly,developing,islands,4.207.321.395,10549008,51.444,4
HUN,Europe,Hungary,256367,6120,26538.065,633.517,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,7.02,76.88,0.838,OECD,par_rep,highly,developed,landlocked,104.647.964,9866468,70.227,3
IDN,Asia,Indonesia,586842,18000,2145.489,65.808,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,1.04,71.72,0.694,NC,pres_rep,highly,developing,islands,1.131.685.123,255129004,52.635,4
